Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,209.690002,214.259995,206.240005,213.410004,211.348755,5749300
2022-02-25,214.270004,219.690002,210.210007,219.179993,217.063019,4613300
2022-02-28,217.259995,221.300003,215.820007,221.059998,218.924881,5440400
2022-03-01,221.380005,224.440002,220.229996,221.500000,219.360626,3953200
2022-03-02,220.600006,230.009995,220.110001,228.660004,226.451477,4513700
2022-03-03,229.119995,230.720001,225.059998,226.279999,224.094467,3180700
2022-03-04,224.580002,226.690002,221.750000,224.070007,221.905807,3144400
2022-03-07,224.029999,227.979996,222.080002,222.259995,220.113281,4022700
2022-03-08,222.259995,229.619995,222.080002,223.259995,221.103622,3725900
2022-03-09,227.979996,230.279999,225.589996,225.880005,223.698334,3428500
2022-03-10,223.000000,224.389999,219.089996,224.169998,222.004837,3318700
2022-03-11,223.899994,227.559998,221.990005,222.210007,220.063782,2616300
2022-03-14,223.979996,227.710007,221.080002,226.509995,224.322220,3607700
2022-03-15,227.800003,232.350006,227.509995,231.070007,228.838211,3413600
2022-03-16,233.130005,234.429993,226.789993,231.330002,229.095688,3497400
2022-03-17,230.000000,234.410004,228.320007,234.380005,232.116241,3323900
2022-03-18,231.649994,236.259995,229.929993,235.669998,233.393768,9149800
2022-03-21,236.500000,238.369995,225.690002,227.600006,225.401718,4349200
2022-03-22,227.649994,229.869995,225.360001,228.470001,226.263321,3248800
2022-03-23,227.000000,227.949997,219.830002,220.919998,218.786224,3728100
2022-03-24,220.830002,221.960007,217.960007,219.169998,217.053131,3399200
2022-03-25,220.729996,220.960007,211.389999,212.919998,210.863495,6831700
2022-03-28,211.380005,213.899994,207.419998,213.779999,211.715179,6579600
2022-03-29,217.759995,221.339996,216.539993,219.570007,217.449280,4993600
2022-03-30,215.750000,217.149994,208.929993,209.490005,207.466629,7090900
2022-03-31,206.850006,208.740005,201.990005,202.190002,200.237137,7318500
2022-04-01,204.100006,204.160004,201.399994,202.399994,200.445099,4827200
2022-04-04,201.550003,204.259995,199.770004,204.119995,202.148483,5426100
2022-04-05,203.210007,208.139999,201.669998,204.869995,202.891235,4707100
2022-04-06,201.199997,202.850006,196.639999,200.649994,198.711990,6356100
2022-04-07,199.110001,204.199997,197.550003,202.639999,200.682785,4411600
2022-04-08,201.029999,207.720001,200.539993,206.660004,204.663956,5065500
2022-04-11,204.660004,208.449997,203.350006,204.589996,202.613953,3576200
2022-04-12,209.009995,210.589996,203.399994,204.139999,202.168304,4354700
2022-04-13,203.630005,206.850006,203.220001,205.509995,203.525055,2803400
2022-04-14,206.229996,207.300003,201.029999,201.279999,199.335922,4001400
2022-04-18,200.619995,202.000000,197.330002,198.520004,196.602585,3800400
2022-04-19,198.169998,203.509995,197.699997,203.039993,201.892502,3392900
2022-04-20,205.839996,210.059998,205.190002,208.740005,207.560303,3906100
2022-04-21,210.419998,210.850006,204.279999,205.029999,203.871262,3797600
2022-04-22,204.119995,204.309998,196.100006,197.059998,195.946304,4216300
2022-04-25,197.050003,200.740005,194.669998,200.380005,199.247543,3895900
2022-04-26,198.910004,204.369995,198.240005,199.589996,198.462006,3959100
2022-04-27,199.250000,203.460007,198.970001,199.570007,198.442123,3028100
2022-04-28,201.619995,207.149994,200.029999,205.139999,203.980637,3250400
2022-04-29,203.490005,205.179993,197.080002,197.729996,196.612518,4217600
2022-05-02,198.119995,204.649994,197.720001,203.139999,201.991943,3697800
2022-05-03,202.470001,204.929993,200.210007,201.630005,200.490479,3002600
2022-05-04,200.729996,207.960007,198.250000,207.160004,205.989227,4452400
2022-05-05,203.910004,204.610001,193.520004,195.919998,194.812744,4262900
2022-05-06,194.169998,195.449997,189.660004,192.289993,191.203262,3910700
2022-05-09,189.589996,198.470001,188.250000,196.070007,194.961914,3998300
2022-05-10,198.110001,199.039993,190.250000,192.130005,191.044174,3638700
2022-05-11,192.839996,195.190002,187.300003,187.770004,186.708817,4598000
2022-05-12,187.770004,194.839996,187.229996,191.699997,190.616592,4292900
2022-05-13,191.270004,197.410004,190.350006,194.000000,192.903595,2911900
2022-05-16,192.570007,196.220001,189.500000,194.729996,193.629471,4405300
2022-05-17,198.919998,199.470001,187.869995,194.029999,192.933426,8210000
2022-05-18,187.500000,191.460007,179.759995,183.820007,182.781143,7847600
2022-05-19,182.679993,191.809998,182.679993,187.860001,186.798309,5132100
2022-05-20,188.929993,189.259995,179.220001,184.690002,183.646225,5722600
2022-05-23,186.500000,186.830002,181.389999,186.250000,185.197403,3546700
2022-05-24,184.979996,187.800003,182.389999,184.619995,183.576614,4486500
2022-05-25,182.600006,189.889999,182.259995,188.550003,187.484406,3986300
2022-05-26,190.570007,197.050003,190.279999,195.529999,194.424957,3337900
2022-05-27,196.720001,199.660004,195.869995,199.630005,198.501785,2779200
2022-05-31,197.600006,198.750000,194.389999,195.300003,194.196259,4733900
2022-06-01,196.389999,197.139999,191.639999,191.720001,190.636490,3290200
2022-06-02,192.559998,196.220001,191.750000,196.130005,195.021576,3359200
2022-06-03,193.970001,197.949997,193.250000,195.449997,194.345398,2262700
2022-06-06,196.000000,198.779999,194.199997,196.770004,195.657959,2691600
2022-06-07,190.350006,196.199997,189.009995,195.649994,194.544266,3269700
2022-06-08,193.899994,194.710007,191.380005,192.449997,191.362366,2775700
2022-06-09,192.110001,198.740005,191.899994,194.279999,193.182022,2999500
2022-06-10,189.300003,192.240005,186.149994,186.330002,185.276947,3564600
2022-06-13,182.330002,184.500000,180.110001,181.259995,180.235596,3899300
2022-06-14,180.830002,182.860001,176.429993,177.940002,176.934372,4037200
2022-06-15,179.399994,181.020004,176.300003,179.009995,177.998306,4164200
2022-06-16,174.500000,174.929993,170.479996,171.610001,170.640137,5536300
2022-06-17,170.940002,175.279999,170.139999,172.470001,171.495285,8499000
2022-06-21,176.089996,176.419998,171.389999,172.380005,171.405792,4753300
2022-06-22,171.339996,175.369995,170.119995,173.600006,172.618896,4434100
2022-06-23,174.520004,176.440002,173.600006,176.330002,175.333466,3611500
2022-06-24,177.759995,182.940002,177.130005,182.839996,181.806671,5346100
2022-06-27,183.000000,185.320007,182.130005,184.220001,183.178879,2829200
2022-06-28,184.479996,185.610001,174.570007,174.720001,173.732559,4980300
2022-06-29,174.970001,177.389999,174.160004,176.100006,175.104767,2802600
2022-06-30,172.039993,176.080002,170.759995,174.669998,173.682846,4415400
2022-07-01,175.830002,178.589996,174.639999,177.360001,176.357651,3095500
2022-07-05,175.050003,179.940002,174.479996,179.880005,178.863403,3226300
2022-07-06,180.779999,182.949997,177.440002,179.059998,178.048035,2177600
2022-07-07,179.869995,182.080002,178.830002,181.570007,180.543854,2935600
2022-07-08,180.899994,182.960007,179.419998,181.630005,180.603516,2024700
2022-07-11,181.220001,183.000000,179.660004,180.110001,179.092102,2285100
2022-07-12,181.990005,185.399994,180.100006,181.000000,179.977066,3184700
2022-07-13,178.770004,183.770004,177.550003,182.369995,181.339325,2935400
2022-07-14,179.410004,182.949997,178.690002,182.660004,181.627701,3261900
2022-07-15,185.710007,186.139999,183.960007,185.000000,183.954468,2901400
2022-07-18,186.610001,189.080002,185.190002,185.789993,184.739990,2965800
2022-07-19,186.570007,189.559998,184.820007,188.779999,188.779999,2683900
2022-07-20,188.389999,191.440002,187.990005,191.029999,191.029999,2427300
2022-07-21,191.240005,193.779999,189.419998,193.559998,193.559998,3266100
2022-07-22,194.820007,199.119995,194.240005,195.580002,195.580002,3329500
2022-07-25,195.699997,195.850006,193.169998,194.800003,194.800003,2492200
2022-07-26,188.179993,190.970001,187.610001,188.600006,188.600006,3647200
2022-07-27,188.699997,190.889999,183.699997,189.919998,189.919998,3713900
2022-07-28,187.490005,191.720001,183.740005,190.800003,190.800003,6034600
