Country Name,GDP growth (annual %),GDP per capita (current US$),GDP Size (current US$)
Uzbekistan,6.291416351,2849.514611,1.02E+11
Turkmenistan,6.300157585,8232.65226,60628857143
Montenegro,6.337697542,12221.47755,7530593375
Benin,6.352821609,1394.373302,19676049076
Togo,6.407922156,985.6975126,9171261838
Ethiopia,6.498134642,1272.016282,1.64E+11
Mauritania,6.507187199,2120.823204,10651709411
Djibouti,6.676649644,3554.839189,4098530514
Guinea,6.744934446,1541.040509,22199409741
South Asia,6.7785427,2303.30291,4.49E+12
Mauritius,6.958287403,11613.04416,14644524819
Panama,7.399301556,18686.4051,83318176900
Mongolia,7.422112762,5838.631081,20325121394
Malta,7.498512459,40395.76921,22328640242
Fiji,7.524290882,5888.736686,5442046565
Georgia,7.832201215,8283.669602,30777833585
India,8.152936311,2480.792087,3.57E+12
Rwanda,8.241287695,1010.268929,14097768472
Tajikistan,8.299999217,1160.81187,12060602009
Armenia,8.3,8053.010663,24085749592
"Congo, Dem. Rep.",8.560862509,627.5021817,66383287003
Samoa,8.584091218,4330.178405,938189443.8
Libya,10.15581818,6172.812469,45096462972
Caribbean small states,12.55763465,16906.56721,53296161046
Guyana,33.80261709,20765.35036,17159509565
